序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
1,600673,东阳光,传统利润快速提升，AI智算共启新篇,买入,国金证券,0,0.647,48.7,0.845,37.26,0.92,34.23,综合Ⅱ,2026-04-10,https://pdf.dfcfw.com/pdf/H3_AP202604101821123817_1.pdf
2,600673,东阳光,全链AI算力领军平台扬帆,买入,国金证券,0,0.636,54.72,0.862,40.4,,,综合Ⅱ,2026-03-15,https://pdf.dfcfw.com/pdf/H3_AP202603151820564389_1.pdf
3,600673,东阳光,受益于制冷剂价格上涨，项目建设为公司发展奠定基础,,环球富盛理财,0,,,,,,,综合Ⅱ,2025-07-08,https://pdf.dfcfw.com/pdf/H3_AP202507081705110976_1.pdf
4,600673,东阳光,公司首次覆盖报告：原有主业或迎业绩反转，制冷剂开启长景气周期,买入,开源证券,0,0.64,9.9,,,,,综合行业,2024-08-27,https://pdf.dfcfw.com/pdf/H3_AP202408271639476272_1.pdf
5,600673,东阳光,2022年业绩预告点评：2022业绩符合预期，新能源平台型布局渐入佳境,买入,民生证券,0,,,,,,,综合Ⅱ,2023-02-02,https://pdf.dfcfw.com/pdf/H3_AP202302021582645416_1.pdf
6,600673,东阳光,事件点评：强强联合布局上游锂矿，打造新能源平台型电子新材料公司,买入,民生证券,0,,,,,,,综合Ⅱ,2022-11-10,https://pdf.dfcfw.com/pdf/H3_AP202211101580133313_1.pdf
7,600673,东阳光,2022年三季报点评：Q3业绩受短期因素扰动，新能源领域布局彰显潜力,买入,民生证券,0,,,,,,,综合Ⅱ,2022-11-07,https://pdf.dfcfw.com/pdf/H3_AP202211071580012461_1.pdf
8,600673,东阳光,深度报告：电容器先驱王者归来，电池箔+PVDF点亮新能源之光,买入,民生证券,0,,,,,,,综合Ⅱ,2022-08-18,https://pdf.dfcfw.com/pdf/H3_AP202208181577339407_1.pdf
